burma14,14,3323,3559,3413,3323,1.0710201625037616,1.0270839602768582,1.0,14,6,37.68416118621826
ulysses16,16,6859,6982,6982,6859,1.0179326432424551,1.0179326432424551,1.0,1,7,43.282649755477905
gr17,17,2085,2211,2164,2085,1.0604316546762589,1.0378896882494004,1.0,6,12,41.66158652305603
gr21,21,2707,2879,2855,2707,1.0635389730328777,1.054673069818988,1.0,12,2,46.83705759048462
ulysses22,22,7013,7382,7295,7013,1.0526165692285756,1.0402110366462285,1.0,10,9,47.001259326934814
gr24,24,1272,1482,1393,1272,1.1650943396226414,1.095125786163522,1.0,17,4,51.87651038169861
fri26,26,937,988,972,937,1.0544290288153682,1.0373532550693703,1.0,10,7,53.83842658996582
bayg29,29,1610,1749,1746,1633,1.0863354037267081,1.0844720496894409,1.0142857142857142,19,14,60.54949450492859
bays29,29,2020,2188,2118,2028,1.0831683168316832,1.0485148514851486,1.003960396039604,11,15,59.61431622505188
swiss42,42,1273,1399,1361,1285,1.09897879025923,1.0691280439905735,1.00942655145326,16,19,80.12000727653503
dantzig42,42,699,792,757,705,1.1330472103004292,1.0829756795422032,1.0085836909871244,17,7,77.7930600643158
gr48,48,5046,5684,5391,5144,1.1264367816091954,1.0683709869203328,1.0194213238208483,7,7,95.20758843421936
hk48,48,11461,13059,12506,11580,1.1394293691649944,1.0911787802111508,1.0103830381293082,13,4,91.03650045394897
eil51,51,426,473,456,440,1.1103286384976525,1.0704225352112675,1.0328638497652582,14,9,101.73705649375916
berlin52,52,7542,8582,8386,8004,1.1378944577035268,1.1119066560594006,1.0612569610182976,8,10,124.09069895744324
brazil58,58,25395,27495,27110,25475,1.082693443591258,1.0675329789328607,1.003150226422524,2,2,137.77313256263733
st70,70,675,768,747,688,1.1377777777777778,1.1066666666666667,1.0192592592592593,9,14,151.6737973690033
eil76,76,538,603,591,561,1.120817843866171,1.0985130111524164,1.0427509293680297,12,19,166.26383352279663
pr76,76,108159,117191,115174,110191,1.0835066892260468,1.0648582179938795,1.0187871559463382,16,4,173.11787796020508
gr96,96,55209,61602,60271,57499,1.1157963375536597,1.0916879494285352,1.0414787444076148,15,4,220.00188159942627
rat99,99,1211,1328,1323,1246,1.0966143682906688,1.092485549132948,1.0289017341040463,10,17,205.11974430084229
kroC100,100,20749,23068,22915,21425,1.1117644223818015,1.1043905730396646,1.0325798833678732,18,1,212.59981441497803
kroD100,100,21294,23780,23387,22111,1.116746501361886,1.0982905982905984,1.0383676152906922,14,9,221.01721596717834
kroE100,100,22068,23995,23834,22790,1.087321007794091,1.0800253761102048,1.0327170563712162,19,16,213.5647485256195
rd100,100,7910,8786,8605,8137,1.1107458912768646,1.0878634639696587,1.0286978508217446,9,1,216.5707983970642
kroB100,100,22141,24463,23700,23172,1.1048733119551963,1.0704123571654396,1.0465651957906148,19,4,208.11442160606384
kroA100,100,21282,23904,23500,21966,1.1232027065125458,1.104219528239827,1.0321398364815337,5,7,213.52116680145264
eil101,101,629,706,695,664,1.12241653418124,1.1049284578696343,1.055643879173291,5,7,221.12646007537842
lin105,105,14379,16612,16101,14615,1.1552959176576953,1.119757980388066,1.0164128242575978,17,3,234.6674587726593
pr107,107,44303,47906,47119,45169,1.0813263210166355,1.0635622869783086,1.019547208992619,4,7,230.28837513923645
gr120,120,6942,8116,7696,7362,1.1691155286660904,1.1086142322097379,1.0605012964563527,17,18,251.52541542053223
pr124,124,59030,64890,63064,60412,1.0992715568355074,1.0683381331526343,1.0234118244960189,9,3,252.78321146965027
bier127,127,118282,132245,131909,122628,1.1180483928239293,1.1152077239140359,1.036742699649989,8,1,274.93832755088806
ch130,130,6110,6762,6639,6474,1.1067103109656302,1.0865793780687398,1.0595744680851065,16,19,258.3716986179352
pr136,136,96772,102861,102861,101299,1.0629210928781052,1.0629210928781052,1.0467800603480346,1,9,283.5641345977783
gr137,137,69853,78173,77185,73446,1.1191072681201952,1.1049632800309221,1.0514365882639256,16,17,307.7803330421448
pr144,144,58537,68597,67007,59192,1.171857116012095,1.1446948084117738,1.0111895040743462,9,19,273.82135462760925
ch150,150,6528,7202,7117,7117,1.1032475490196079,1.0902267156862746,1.0902267156862746,15,15,273.5239827632904
kroB150,150,26130,29669,29550,27899,1.135438193647149,1.1308840413318024,1.0676999617298124,6,19,260.36006355285645
kroA150,150,26524,30328,29123,28357,1.1434172824611673,1.0979867290001508,1.069107223646509,12,16,250.1331820487976
pr152,152,73682,79317,78688,75138,1.0764772943188297,1.0679406096468609,1.0197605928177846,14,14,308.25654315948486
u159,159,42080,47409,47252,45291,1.1266397338403042,1.1229087452471482,1.0763070342205323,18,7,307.20894980430603
si175,175,21407,21989,21974,21743,1.027187368617742,1.026486663240996,1.0156958004391088,9,10,362.5684263706207
rat195,195,2323,2704,2629,2547,1.164012053379251,1.131726216099871,1.0964270340077487,13,1,393.91232991218567
d198,198,15780,17226,17024,16882,1.0916349809885932,1.0788339670468947,1.0698352344740178,11,15,509.1942517757416
